_id,vehicleCode,vin,modelId.code,modelId.name,SalesModel,inventoryStatus,inv status label,vehicleColor.code,vehicleColor.name,status.code,status.name,description,,availableBy,modelId.wrntyLimitationKm
69f89d3b85fdf213c2da6af9,1003504,LVUGTBHD1TD248631,T71506JXXMH0009,OMODA5 HEV Premium,T71506JCLMH0009,7,Sea Transit,Carbon crystal black | Black,Carbon crystal black | Black,2,Available For Sale ,1003504 - OMODA5 HEV Premium Carbon Crystal Black | Black,,2026-09-22T00:00:00.000Z,
69f89ca385fdf213c2da6729,1003442,LVUGTBHDXTD248577,T71506JXXMH0009,OMODA5 HEV Premium,T71506JCLMH0009,7,Sea Transit,Carbon crystal black | Black,Carbon crystal black | Black,2,Available For Sale ,1003442 - OMODA5 HEV Premium Carbon Crystal Black | Black,,2026-09-22T00:00:00.000Z,
69f89c1a85fdf213c2da62f4,1003389,LVUGTBHD6TD248432,T71506JXXMH0009,OMODA5 HEV Premium,T71506JGVMH0009,7,Sea Transit,Phantom gray | Black,Phantom gray | Black,2,Available For Sale ,1003389 - OMODA5 HEV Premium Phantom Gray | Black,,2026-09-22T00:00:00.000Z,
6a53b7faa32c64f37c5aade0,1004569,82000028-T71506JGVMH0009-8,T71506JXXMH0009,OMODA5 HEV Premium,T71506JGVMH0009,13,Future Vehicle,Phantom gray,Phantom gray,2,Available For Sale ,1004569 - OMODA5 HEV Premium Phantom Gray | Black,,2026-10-10T12:00:00.000Z,
6a81c3aed8e2ec9f216f7cda,1005309,82000039-T6480J1BXLX0018-28,T6480J1XXLX0018,OMODA9 PHEV Premium,T6480J1BXLX0018,13,Future Vehicle,Khaki white,Khaki white,2,Available For Sale ,1005309 - OMODA9 PHEV Premium Khaki White | Black 2025,,2026-10-11T12:00:00.000Z,
6a53c07aa32c64f37c5ac873,1004692,82000029-T6480J1BXLX0018-8,T6480J1XXLX0018,OMODA9 PHEV Premium,T6480J1BXLX0018,13,Future Vehicle,Khaki white,Khaki white,2,Available For Sale ,1004692 - OMODA9 PHEV Premium Khaki White | Black 2025,,2026-10-10T12:00:00.000Z,
6a2aa4e91431ad7a8e516fcb,1003917,LVUGTBHD8TD267726,T71506JXXMH0009,OMODA5 HEV Premium,T71506JGVMH0009,7,Sea Transit,Phantom gray,Phantom gray,2,Available For Sale ,1003917 - OMODA5 HEV Premium Phantom Gray | Black,,2026-09-14T12:00:00.000Z,
6a2aa5601431ad7a8e517461,1003981,LVUGTBHD1TD267762,T71506JXXMH0009,OMODA5 HEV Premium,T71506JCLMH0009,7,Sea Transit,Carbon crystal black,Carbon crystal black,2,Available For Sale ,1003981 - OMODA5 HEV Premium Carbon Crystal Black | Black,,2026-09-14T12:00:00.000Z,
6a3aaaa3cb996d4617c6ba90,1004278,LNNBDDEH8TG042274,T6480J1XXLX0018,OMODA9 PHEV Premium,T6480J1BXLX0018,7,Sea Transit,Khaki white,Khaki white,2,Available For Sale ,1004278 - OMODA9 PHEV Premium Khaki White | Black 2025,,2026-09-14T12:00:00.000Z,
6a53c0dea32c64f37c5ac9a9,1004730,LNNBDDEH0TG050112,T6480J1XXLX0018,OMODA9 PHEV Premium,T6480J1BXLX0018,7,Sea Transit,Khaki white,Khaki white,2,Available For Sale ,1004730 - OMODA9 PHEV Premium Khaki White | Black 2025,,2026-10-10T12:00:00.000Z,
